"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"4bcc50","THY1WF  ","Turkey","1650612801","1650613378","32.2518","39.3674","6515.1","False","212.56","74.42","-10.4","","6736.08","","False","0","1"
"49d403","ISR341  ","Czech Republic","1650613379","1650613379","27.6459","35.4073","12192","False","210.11","302.09","-0.33","","12443.46","","False","0","1"
"4b1a1f","EZS52MP ","Switzerland","1650613379","1650613379","26.9274","37.2837","11269.98","False","234.63","135.09","0","","11529.06","0410","False","0","4"
"4850c2","P4HBK   ","Kingdom of the Netherlands","1650613378","1650613378","30.7855","41.5461","13098.78","False","228.49","297.49","-0.33","","13228.32","","False","0","1"
"4ba9d4","THY94PB ","Turkey","1650613260","1650613335","32.3111","40.4892","8061.96","False","201.29","287.09","7.15","","8282.94","","False","0","0"
"46bc4a","A32MJ   ","Greece","1650613377","1650613377","25.8159","38.7388","3962.4","False","146.86","57.59","0","","4114.8","7463","False","0","0"
"4b8e41","PGT3N   ","Turkey","1650613379","1650613379","32.1265","40.1649","10972.8","False","203.84","280.18","0.33","","11178.54","","False","0","1"
"4b8e46","PGT1043 ","Turkey","1650613379","1650613379","29.5808","41.1227","3444.24","False","149.81","344.05","14.63","","3558.54","","False","0","0"
"4ba8c7","THY2QS  ","Turkey","1650613379","1650613379","29.4904","40.9649","1371.6","False","141.27","64.09","5.53","","1447.8","","False","0","1"
"4ba8c8","THY7YJ  ","Turkey","1650613379","1650613379","31.0173","40.2861","6835.14","False","182.54","278.43","-10.73","","7056.12","","False","0","0"
"4ba94e","THY4VR  ","Turkey","1650613345","1650613345","32.1195","40.4976","11582.4","False","214.48","291.09","0","","11772.9","","False","0","1"
"4ba95a","THY181  ","Turkey","1650613377","1650613377","27.7164","41.6985","3444.24","False","169.56","107.12","-6.18","","3581.4","5674","False","0","1"
"51408c","TGZ2774 ","Georgia","1650613210","1650613377","34.1118","35.0715","5006.34","False","192.11","349.35","10.4","","5204.46","","False","0","1"
"4ba976","THY8GF  ","Turkey","1650613379","1650613379","29.5834","39.837","6713.22","False","193.27","336.3","-11.7","","6972.3","","False","0","0"
"4ba975","THY6YB  ","Turkey","1650613379","1650613379","28.409","41.644","10287","False","202.48","276.57","6.83","","10454.64","","False","0","0"
"5080ab","MSI6548 ","Ukraine","1650613379","1650613379","27.3327","37.6892","7650.48","False","157.26","157.29","0.65","","7917.18","7424","False","0","1"
"4b8e0c","PGT34T  ","Turkey","1650613378","1650613379","32.924","40.3074","11277.6","False","247.46","90.48","-0.33","","11468.1","","False","0","0"
"4b8e16","PGT73G  ","Turkey","1650613095","1650613095","29.2716","40.8848","190.5","False","74.32","64.14","-4.23","","289.56","","False","0","1"
"ae07fd","RCH546  ","United States","1650613379","1650613379","25.0358","40.2446","10058.4","False","221.82","154.45","0.33","","10264.14","7406","False","0","1"
"4c4aab","PNC1VL  ","Serbia","1650613379","1650613379","28.8722","35.9142","11582.4","False","199.9","303.77","0","","11811","","False","0","1"
"44a826","JAF2367 ","Belgium","1650613379","1650613379","28.0858","36.4034","","True","10.29","67.5","","","","0110","False","0","1"
"50801f","ADB3202 ","Ukraine","1650613379","1650613379","25.9634","42.0989","9730.74","False","202.73","271.16","0.33","","9936.48","2340","False","0","1"
"4ba91a","THY9DL  ","Turkey","1650613379","1650613379","25.025","42.0075","11269.98","False","247.48","90.95","0","","11430","4176","False","0","1"
"4ba906","THY1BN  ","Turkey","1650613379","1650613379","27.5264","42.1569","10363.2","False","206.29","316.11","0","","10530.84","3237","False","0","1"
"4ba902","THY9NG  ","Turkey","1650613359","1650613379","28.6961","41.6651","8763","False","303.45","125.2","6.5","","9022.08","","False","0","0"
"4ba904","THY8UK  ","Turkey","1650613379","1650613379","28.1393","40.6793","4678.68","False","185.72","90.48","-8.78","","4846.32","0731","False","0","1"
"4bd185","TWI413  ","Turkey","1650613378","1650613379","30.9031","40.5331","10066.02","False","235.45","107.29","-0.33","","9105.9","","False","0","1"
"503dac","NVD8524 ","Lithuania","1650613379","1650613379","29.7617","40.7947","10370.82","False","221.65","335.16","0","","10568.94","","False","0","1"
"4d22af","RYR5866 ","Malta","1650613379","1650613379","25.9695","39.1614","11285.22","False","240.02","132.13","0","","11521.44","7347","False","0","0"
"49d283","ISR185  ","Czech Republic","1650613379","1650613379","26.531","35.0528","12192","False","212.04","293.14","0","","12435.84","7210","False","0","1"
"503d34","CAI47DA ","Lithuania","1650613379","1650613379","27.927","41.8545","10972.8","False","209.89","315.1","0","","11125.2","3215","False","0","0"
"4d2302","RYR2093 ","Malta","1650613379","1650613379","28.869","36.6078","11277.6","False","240.05","139.35","0","","11544.3","0642","False","0","0"
"4d2357","GJT7XU  ","Malta","1650613379","1650613379","29.5335","41.3899","10980.42","False","218.45","339.6","0.33","","11163.3","","False","0","0"
"39cea5","TVF3512 ","France","1650613378","1650613379","25.08","37.3482","2186.94","False","139.94","107.1","-5.53","","2301.24","0644","False","0","4"
"4ba749","PGT52Y  ","Turkey","1650613379","1650613379","26.4968","39.3343","10020.3","False","233.32","42.95","-5.53","","10264.14","5526","False","0","1"
"06a07f","QTR51F  ","Qatar","1650613379","1650613379","29.8982","41.0007","12192","False","217.06","282.46","0","","12344.4","","False","0","1"
"4d21fe","RYR11ST ","Malta","1650613379","1650613379","26.1509","44.5703","541.02","False","86.41","83.85","10.08","","586.74","","False","0","0"
"155c08","AZO770  ","Russian Federation","1650613340","1650613364","30.6207","42.1933","10660.38","False","245.28","81.07","1.3","","10828.02","","False","0","4"
"4d20f9","VJT801  ","Malta","1650613379","1650613379","29.2401","35.0203","12496.8","False","255.77","109.38","0","","12771.12","0213","False","0","4"
"46d1cf","SEH460  ","Greece","1650613376","1650613378","25.6451","36.4495","5791.2","False","136.06","135.61","0","","5996.94","","False","0","0"
"4d226b","RYR4NQ  ","Malta","1650613379","1650613379","28.6321","36.1985","11887.2","False","241.59","107.86","0","","12131.04","0242","False","0","0"
"4d226c","RYR8JA  ","Malta","1650613379","1650613379","29.384","35.9997","11887.2","False","238","108.4","0","","12138.66","1221","False","0","0"
"4d2259","RYR7090 ","Malta","1650613379","1650613379","25.9301","36.2267","11277.6","False","240.27","115.08","0","","11544.3","4314","False","0","0"
"407c5e","AWC187  ","United Kingdom","1650613378","1650613379","28.7529","43.7315","11887.2","False","260.08","128.25","-0.33","","11978.64","0176","False","0","0"
"48c12e","RYR6754 ","Poland","1650613379","1650613379","30.3083","36.658","11277.6","False","237.43","145.86","0","","11536.68","5571","False","0","0"
"48c138","RYS5218 ","Poland","1650613379","1650613379","27.4641","36.5016","5189.22","False","186.81","296.49","14.63","","5364.48","","False","0","0"
"48c130","RYR5725 ","Poland","1650613377","1650613377","28.1795","39.4957","11277.6","False","235.31","158.99","0","","11498.58","5552","False","0","0"
"06a1cd","QQE219  ","Qatar","1650613379","1650613379","27.9635","43.2799","13106.4","False","237.75","299.56","-0.33","","13205.46","3245","False","0","0"
"4bb846","PGT55D  ","Turkey","1650613378","1650613378","30.1669","38.6337","9334.5","False","232.64","181.77","-4.88","","9624.06","","False","0","4"
"4bb843","PGT65K  ","Turkey","1650613378","1650613378","32.0868","40.0871","11582.4","False","203.11","286.78","0","","11788.14","","False","0","4"
"4bb850","PGT46Z  ","Turkey","1650613379","1650613379","25.0801","43.0044","11597.64","False","209.15","295.81","0.65","","11711.94","6017","False","0","4"
"4bb859","PGT75T  ","Turkey","1650613379","1650613379","25.688","43.1665","11574.78","False","204.75","306.73","-0.33","","11704.32","3225","False","0","0"
