"icao24","callsign","origin_country","time_position","last_contact","long","lat","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source"
"70605d","KAC102  ","Kuwait","1654025307","1654025307","28.7651","42.8212","11277.6","False","250.81","125.48","0","","11620.5","1164","False","0","6"
"89659f","WAZ1687 ","United Arab Emirates","1654025305","1654025307","31.3578","41.9103","10058.4","False","240.51","109.75","0","","10424.16","4460","False","0","0"
"4bcdf2","SXS4N   ","Turkey","1654025282","1654025307","31.6066","36.9008","11887.2","False","231.68","87.71","0","","12313.92","","False","0","0"
"4bcdeb","SXS1RV  ","Turkey","1654025307","1654025307","28.7347","39.1743","11887.2","False","230.95","151.09","0","","12260.58","0105","False","0","0"
"4bcde1","SXS4DT  ","Turkey","1654024093","1654025176","33.4078","37.1496","11887.2","False","239.34","106.1","-0.33","","12283.44","","False","0","4"
"896569","FDB1749 ","United Arab Emirates","1654025304","1654025307","31.9726","41.6645","10972.8","False","220.23","256.35","0","","11330.94","","False","0","0"
"407838","EZY78GZ ","United Kingdom","1654025197","1654025199","27.82","37.2141","883.92","False","86.58","286.93","-5.85","","944.88","4753","False","0","0"
"491d89","NJE419T ","Portugal","1654025298","1654025306","32.044","42.5845","13723.62","False","262.64","98.45","-1.3","","14119.86","4504","False","0","0"
"4853d3","TRA212  ","Kingdom of the Netherlands","1654025307","1654025307","26.3118","38.9447","10881.36","False","231.47","318.69","4.88","","11216.64","3213","False","0","4"
"4078ae","EXS87ET ","United Kingdom","1654025307","1654025307","26.2721","37.9394","11277.6","False","234.81","137.22","0","","11628.12","0617","False","0","0"
"5083de","CXI6Z   ","Ukraine","1654025307","1654025308","28.1351","36.5157","1699.26","False","130.81","70.71","-4.88","","1790.7","0237","False","0","1"
"600808","ESW28   ","Azerbaijan","1654025307","1654025307","25.2997","44.9392","11887.2","False","244.88","118.07","-0.33","","12199.62","0653","False","0","4"
"461fa2","FIN1936 ","Finland","1654025307","1654025307","29.5469","40.747","10972.8","False","227.21","321.16","0","","11330.94","","False","0","4"
"40666d","EZY64DQ ","United Kingdom","1654025307","1654025307","27.9228","36.4789","11277.6","False","234.08","137.23","0","","11666.22","7303","False","0","1"
"4bcda4","SXS578  ","Turkey","1654025307","1654025307","27.249","42.3662","11582.4","False","227","315.37","0","","11932.92","5342","False","0","0"
"732443","IRA769  ","Islamic Republic of Iran","1654025306","1654025307","29.3807","41.1344","3337.56","False","138.55","326.66","0","","","","False","0","1"
"4bccab","SXS236  ","Turkey","1654025307","1654025307","30.1397","39.1015","10972.8","False","231.45","339.71","0","","11353.8","","False","0","1"
"40796c","TOM3BG  ","United Kingdom","1654025306","1654025306","27.7295","36.5414","2918.46","False","150.82","109.11","-6.83","","3086.1","4760","False","0","0"
"700003","AFG719  ","Afghanistan","1654025305","1654025305","32.0221","40.5463","10363.2","False","217.23","283.84","0.33","","10690.86","","False","0","1"
"407959","EZY73UD ","United Kingdom","1654025307","1654025307","28.563","39.4729","11277.6","False","223.75","148.54","0","","11666.22","3472","False","0","0"
"4bce02","SXS23W  ","Turkey","1654025306","1654025306","31.9449","38.8938","11887.2","False","236.45","83.88","-0.33","","12291.06","5136","False","0","0"
"4b8533","PGT1925 ","Turkey","1654024000","1654025304","33.4839","35.1611","335.28","False","88.39","294.78","14.31","","320.04","","False","0","1"
"4d0105","CLX7302 ","Luxembourg","1654025307","1654025307","29.9499","42.2812","9448.8","False","258.35","108.94","0","","9776.46","3505","False","0","6"
"49d3d4","TVQ6123 ","Czech Republic","1654025307","1654025307","29.3855","40.8995","11582.4","False","228.74","321.3","0","","11948.16","","False","0","4"
